anime_id,score,watching_status,watched_episodes
9062,0,1,1
15583,8,1,11
12729,7,1,0
6336,7,1,5
9581,0,1,3
16498,8,1,13
16049,7,1,2
2928,8,2,1
3269,9,2,1
873,8,2,26
1487,8,2,1
49,7,2,5
50,8,2,24
304,6,2,1
880,8,2,22
3090,0,2,2
4744,8,2,12
5772,7,2,1
5112,6,2,12
6547,10,2,13
10067,0,2,1
11111,7,2,12
5342,8,2,13
6676,8,2,13
66,7,2,26
6347,8,2,13
8516,8,2,13
9471,7,2,2
5081,9,2,15
109,7,2,24
1682,8,2,4
9513,8,2,60
889,8,2,12
4901,8,2,5
1519,8,2,12
12079,7,2,1
7059,7,2,1
11285,7,2,8
269,9,2,366
1686,6,2,1
2889,6,2,1
4835,8,2,1
8247,9,2,1
762,6,2,1
10719,8,2,12
14967,9,2,12
14027,0,2,1
10897,6,2,1
10163,8,2,11
5356,6,2,13
812,6,2,13
59,0,2,26
596,0,2,1
60,7,2,24
4186,8,2,24
2167,10,2,23
1723,6,2,1
4181,10,2,24
6351,10,2,1
4059,10,2,1
1575,9,2,25
2904,9,2,25
12549,7,2,12
2025,8,2,25
7338,7,2,4
6573,7,2,12
6880,8,2,12
10418,7,2,1
63,7,2,12
1817,7,2,1
1535,10,2,37
8086,8,2,24
9690,7,2,1
552,8,2,54
1313,7,2,50
2398,8,2,1
2961,8,2,1
1132,8,2,50
859,8,2,48
874,7,2,51
3032,7,2,1
3033,7,2,1
10155,8,2,13
11783,9,2,13
225,7,2,64
813,9,2,291
226,8,2,13
790,6,2,23
6702,9,2,175
356,10,2,24
6922,8,2,1
10087,9,2,13
11741,9,2,12
227,2,2,6
9367,7,2,12
121,7,2,51
5114,8,2,64
4725,9,2,12
241,7,2,11
297,7,2,12
10793,8,2,22
411,8,2,26
134,6,2,13
3231,8,2,13
4765,7,2,2
13161,9,2,12
15729,7,2,6
270,8,2,13
777,8,2,10
379,7,2,26
11617,8,2,12
13357,7,2,6
8074,8,2,12
9515,7,2,1
934,10,2,26
1889,8,2,24
10079,7,2,12
7088,8,2,12
468,7,2,1
9041,8,2,12
5680,0,2,13
8525,8,2,12
10080,8,2,12
9675,8,2,1
6205,8,2,12
10076,8,2,2
3349,7,2,24
274,7,2,24
96,9,2,49
218,8,2,26
219,8,2,1
2581,9,2,25
6288,9,2,1
3927,10,2,25
93,10,2,50
1215,7,2,3
94,10,2,50
1241,10,2,1
2294,7,2,4
3229,7,2,13
1067,7,2,12
12175,8,2,12
11887,9,2,13
16001,9,2,4
13367,7,2,12
8841,8,2,12
10790,8,2,10
15437,8,2,1
10209,8,2,2
43,7,2,1
467,8,2,26
1566,7,2,1
801,8,2,26
237,8,2,50
1631,7,2,1
1995,7,2,1
189,7,2,24
9756,7,2,12
10213,8,2,12
860,7,2,12
10397,8,2,12
10110,7,2,13
11761,8,2,12
14527,8,2,12
1138,7,2,52
10620,8,2,26
8424,8,2,12
9181,8,2,12
15689,9,2,4
30,8,2,26
11597,8,2,11
3467,7,2,12
17157,8,2,1
8769,8,2,12
10020,9,2,4
9922,8,2,12
8795,8,2,13
14663,6,2,1
2993,7,2,13
4214,7,2,13
2476,2,2,12
6500,9,2,24
10073,8,2,12
4063,8,2,12
5277,8,2,13
9355,8,2,1
355,8,2,24
2787,8,2,24
6773,9,2,24
1815,8,2,1
1066,7,2,4
3221,6,2,1
90,8,2,49
2273,9,2,1
19285,0,2,1
13125,6,2,25
79,8,2,24
1836,8,2,12
7396,8,2,1
152,6,2,24
5958,7,2,13
8407,7,2,12
9790,7,2,1
3588,9,2,51
9253,10,2,24
10863,10,2,1
1544,6,2,3
11757,8,2,25
391,8,2,4
2001,8,2,27
4107,7,2,1
3455,9,2,26
5667,8,2,6
6213,8,2,24
4654,8,2,24
8937,8,2,24
687,8,2,52
935,7,2,24
3972,10,2,154
481,9,2,224
482,8,2,180
6951,8,2,1
1894,9,2,1
1195,8,2,13
11319,8,2,12
1840,8,2,12
3712,8,2,12
12467,6,3,3
849,6,3,10
1,5,4,3
1887,2,4,12
13663,0,6,2
