anime_id,score,watching_status,watched_episodes
44511,0,1,1
877,0,1,5
36840,4,2,12
32998,9,2,12
34777,5,2,1
36864,6,2,25
37320,5,2,13
35015,6,2,12
37924,6,2,24
39959,6,2,12
42238,7,2,12
37266,6,2,1
11111,9,2,12
20365,6,2,1
21995,8,2,12
39337,9,2,8
36214,7,2,1
37171,8,2,12
38002,7,2,2
37996,6,2,1
2156,4,2,52
5337,4,2,52
40344,6,2,1
39195,7,2,12
530,7,2,46
34618,6,2,12
11633,7,2,10
10490,8,2,12
31043,10,2,12
31964,10,2,13
33486,10,2,25
36456,10,2,25
38408,9,2,25
41587,8,2,25
33929,9,2,1
1639,1,2,1
39065,6,2,1
25839,5,2,24
37451,5,2,18
31478,9,2,12
32867,10,2,12
38003,9,2,12
34944,8,2,1
33071,7,2,1
41468,7,2,3
1689,6,2,3
28999,6,2,13
34382,5,2,12
13807,6,2,1
15037,6,2,4
31636,5,2,12
35849,7,2,24
6880,8,2,12
1535,8,2,37
2994,6,2,2
28223,7,2,12
35120,8,2,10
35928,7,2,12
17513,1,2,12
30346,8,2,1
19519,5,2,1
226,6,2,13
39533,6,2,11
20583,5,2,25
32935,5,2,10
28891,5,2,25
37517,7,2,12
47402,7,2,1
6399,0,2,1
934,7,2,26
35557,8,2,12
431,7,2,1
12189,8,2,22
13469,6,2,1
5231,6,2,127
10507,6,2,47
12585,6,2,1
13261,6,2,51
18097,6,2,43
9032,7,2,1
40833,7,2,24
11013,7,2,12
34542,4,2,11
37999,8,2,12
40591,8,2,12
7054,6,2,26
34933,7,2,12
50339,6,2,6
37086,8,2,12
40221,7,2,13
40839,6,2,12
35860,7,2,12
16035,8,2,13
34825,6,2,12
18679,7,2,24
38000,9,2,26
39769,5,2,1
6045,8,2,25
9656,7,2,12
32281,7,2,1
36098,8,2,1
40521,6,2,2
33206,7,2,13
28851,8,2,1
8634,7,2,2
41195,8,2,1
48926,5,2,12
30831,6,2,10
15379,8,2,12
16636,8,2,6
28623,7,2,12
33519,7,2,1
33520,7,2,1
34544,7,2,1
16023,7,2,2
4898,7,2,24
22145,8,2,10
23317,6,2,2
6793,6,2,1
32949,2,2,12
40332,2,2,1
18153,7,2,12
34599,8,2,13
37514,8,2,1
37515,8,2,1
36862,8,2,1
18115,9,2,25
14513,8,2,25
9756,7,2,12
36266,7,2,12
4087,8,2,22
48483,6,2,12
8460,7,2,1
10620,8,2,26
16762,8,2,1
12637,6,2,1
39731,6,2,1
23755,10,2,24
30347,7,2,2
38198,9,2,1
34577,9,2,24
36923,7,2,1
39701,9,2,24
31722,10,2,4
11033,6,2,1
30,5,2,26
31,5,2,1
32,5,2,1
31404,5,2,12
10165,8,2,26
30514,6,2,1
39163,0,2,1
20507,8,2,12
30503,8,2,13
39165,5,2,1
36198,3,2,12
30276,8,2,12
34134,7,2,12
6893,3,2,2
10380,2,2,1
11879,3,2,2
21097,3,2,3
30891,2,2,4
31789,2,2,1
40828,7,2,1
12355,8,2,1
41332,7,2,8
32013,7,2,12
33949,8,2,1
33238,3,2,1
8795,9,2,13
325,5,2,25
437,9,2,1
27775,7,2,13
44059,8,2,1
40569,7,2,1
31240,9,2,25
39587,10,2,13
42203,9,2,12
28497,9,2,12
25867,6,2,12
52865,7,2,12
44807,7,2,1
35994,6,2,16
37450,6,2,13
199,9,2,1
42351,5,2,12
741,4,2,1
339,6,2,13
18119,8,2,13
34240,7,2,1
44074,10,2,11
7724,8,2,22
37396,6,2,3
16498,9,2,25
23775,8,2,1
23777,8,2,1
25777,9,2,12
36702,8,2,1
35760,9,2,12
38524,8,2,10
19285,8,2,1
40028,10,2,16
48583,7,2,12
38212,3,2,12
37569,5,2,12
35629,5,2,12
3588,9,2,51
21507,4,2,12
9253,10,2,24
30484,8,2,23
14289,5,2,13
21881,7,2,24
21647,8,2,1
38826,8,2,1
43690,5,2,12
17949,6,2,1
2236,6,2,1
22319,8,2,12
27899,8,2,12
36511,8,2,12
37799,7,2,12
687,6,2,52
14227,7,2,13
4224,8,2,25
34902,9,2,12
35044,6,2,12
10162,1,2,11
33352,9,2,13
39741,8,2,1
37095,7,2,1
16742,7,2,12
20449,8,2,1
32899,4,2,12
43299,9,2,12
48614,4,2,1
14951,7,2,1
35968,8,2,11
40254,7,2,8
43590,7,2,1
37779,10,2,12
8861,1,2,12
39963,9,2,8
24833,0,3,4
6746,0,3,3
34572,5,4,32
37982,1,4,2
38671,5,4,9
40750,1,4,0
38993,6,4,2
21,1,4,1
25013,0,6,0
9989,0,6,1
40935,0,6,0
49918,0,6,0
50330,0,6,0
16355,0,6,0
790,0,6,0
38680,0,6,0
5114,0,6,1
41025,0,6,0
42897,0,6,0
11061,0,6,0
40748,0,6,1
42544,0,6,0
52635,0,6,0
14713,0,6,0
24439,0,6,0
40456,0,6,0
38594,0,6,0
34712,0,6,1
33489,0,6,0
41491,0,6,0
52293,0,6,0
52299,0,6,0
29803,0,6,0
1943,0,6,0
44961,0,6,0
13601,0,6,0
31229,0,6,0
23273,0,6,0
49413,0,6,0
39569,0,6,0
4654,0,6,0
48580,0,6,0
37521,0,6,0
37987,0,6,0
23283,0,6,0
