anime_id,score,watching_status,watched_episodes
6547,0,1,1
31478,8,1,6
2167,0,1,3
1575,0,1,6
41025,0,1,5
42897,8,1,13
34933,0,1,3
28725,7,1,0
32949,0,1,3
31240,0,1,3
48492,0,1,0
9253,0,1,12
11757,0,1,7
6211,0,1,3
37521,0,1,1
38101,7,2,12
39783,8,2,12
9989,8,2,11
15039,7,2,1
11111,7,2,12
24833,7,2,22
21995,7,2,12
31043,10,2,12
1689,7,2,3
1535,9,2,37
37982,6,2,12
16528,7,2,1
40938,7,2,13
10408,9,2,1
40787,9,2,1
40748,8,2,24
38000,7,2,26
32281,10,2,1
36098,9,2,1
22535,8,2,24
28851,9,2,1
16782,7,2,1
39235,6,2,1
32729,9,2,13
2476,5,2,12
37450,9,2,13
38329,9,2,1
23273,9,2,22
37396,6,2,3
16498,9,2,25
25777,9,2,12
35760,8,2,12
38524,8,2,10
40028,9,2,16
38826,8,2,1
22319,8,2,12
27899,8,2,12
36511,6,2,12
37799,8,2,12
42249,8,2,24
4224,8,2,25
34822,6,2,12
41389,0,4,3
39175,0,6,0
6746,0,6,0
12189,0,6,0
18679,0,6,0
3455,0,6,0
46095,0,6,0
