anime_id,score,watching_status,watched_episodes
11061,8,1,31
1604,9,1,152
1735,8,1,181
20507,9,1,6
21,10,1,216
10588,9,1,7
873,6,2,26
298,4,2,12
5525,6,2,25
1292,7,2,5
857,8,2,25
3791,7,2,1
5112,4,2,12
3359,6,2,13
5081,8,2,15
109,6,2,24
67,7,2,24
269,8,2,366
1686,8,2,1
2889,8,2,1
4835,8,2,1
834,7,2,1
150,7,2,50
2116,10,2,128
1674,10,2,47
2120,8,2,1
2119,8,2,1
2118,8,2,1
1614,9,2,52
2122,9,2,1
2121,9,2,1
1818,7,2,26
1575,10,2,25
2904,10,2,25
2025,9,2,25
4182,7,2,1
7338,8,2,4
6573,9,2,12
2748,6,2,65
1535,10,2,37
2994,9,2,1
3702,8,2,12
5065,8,2,1
1726,6,2,12
874,7,2,51
3312,9,2,74
223,10,2,153
225,10,2,64
987,8,2,1
6033,9,2,97
502,8,2,1
891,0,2,1
892,0,2,1
893,0,2,1
2520,0,2,1
813,10,2,291
894,10,2,1
895,7,2,1
896,9,2,1
897,7,2,1
898,9,2,1
899,9,2,1
900,9,2,1
901,10,2,1
902,9,2,1
903,10,2,1
904,7,2,1
906,10,2,1
986,9,2,1
985,8,2,1
984,9,2,2
5152,0,2,1
226,7,2,13
317,10,2,1
2952,10,2,1
408,10,2,1
6151,10,2,1
121,8,2,51
908,7,2,1
430,10,2,1
4725,9,2,12
384,4,2,13
132,8,2,49
918,10,2,201
2951,9,2,1
263,9,2,76
270,5,2,13
8074,8,2,12
2050,8,2,2
249,9,2,167
5680,9,2,13
7017,5,2,7
1606,8,2,52
6045,6,2,25
3272,8,2,137
250,6,2,150
467,7,2,26
237,7,2,50
4898,7,2,24
6163,7,2,1
6793,7,2,1
97,5,2,26
2034,7,2,24
1412,8,2,23
1413,0,2,1
1425,8,2,155
4851,0,2,1
157,8,2,26
860,4,2,12
5030,1,2,12
20,9,2,220
442,8,2,1
1074,7,2,1
761,6,2,1
6030,8,2,24
853,8,2,26
5530,8,2,25
3366,8,2,26
1710,6,2,56
2110,5,2,25
45,8,2,95
1254,8,2,114
166,6,2,26
199,8,2,1
154,7,2,64
170,8,2,101
3588,8,2,51
849,8,2,14
1731,7,2,4
4884,7,2,26
6444,8,2,25
174,6,2,24
448,7,2,2
6211,7,2,11
479,6,2,51
3457,6,2,13
4752,5,2,13
935,5,2,24
202,6,2,26
7674,0,3,3
1482,8,3,5
6746,0,3,1
15,8,3,2
6702,8,3,48
5114,9,3,15
245,9,3,20
8525,7,3,1
7724,7,3,1
8934,8,3,1
2001,8,3,3
8277,6,4,1
8424,7,4,2
6682,0,6,0
53,0,6,0
9201,0,6,0
7193,0,6,0
66,0,6,0
2251,0,6,0
5675,0,6,0
57,0,6,0
9513,0,6,0
68,0,6,0
889,0,6,0
7059,0,6,0
3407,0,6,0
2142,0,6,0
1222,0,6,0
1536,0,6,0
5356,0,6,0
59,0,6,0
2167,0,6,0
1,0,6,0
61,0,6,0
5593,0,6,0
3230,0,6,0
4789,0,6,0
2924,0,6,0
790,0,6,0
3167,0,6,0
356,0,6,0
1157,0,6,0
120,0,6,0
71,0,6,0
1571,0,6,0
385,0,6,0
7472,0,6,0
6945,0,6,0
246,0,6,0
5041,0,6,0
16,0,6,0
6895,0,6,0
4713,0,6,0
958,0,6,0
136,0,6,0
4550,0,6,0
248,0,6,0
257,0,6,0
940,0,6,0
228,0,6,0
7791,0,6,0
3616,0,6,0
3958,0,6,0
1691,0,6,0
2581,0,6,0
5079,0,6,0
6707,0,6,0
1887,0,6,0
3572,0,6,0
872,0,6,0
3655,0,6,0
5597,0,6,0
30,0,6,0
1210,0,6,0
1698,0,6,0
7769,0,6,0
8769,0,6,0
770,0,6,0
5682,0,6,0
165,0,6,0
4618,0,6,0
197,0,6,0
1037,0,6,0
114,0,6,0
205,0,6,0
2605,0,6,0
24,0,6,0
5909,0,6,0
4063,0,6,0
5507,0,6,0
355,0,6,0
5220,0,6,0
3420,0,6,0
1559,0,6,0
4581,0,6,0
5485,0,6,0
534,0,6,0
6098,0,6,0
5307,0,6,0
6381,0,6,0
4382,0,6,0
5306,0,6,0
3594,0,6,0
26,0,6,0
4224,0,6,0
6,0,6,0
177,0,6,0
4896,0,6,0
856,0,6,0
861,0,6,0
1562,0,6,0
