anime_id,score,watching_status,watched_episodes
49918,0,1,13
44042,0,1,0
49220,0,1,5
48661,0,1,7
48316,0,1,2
50709,0,1,1
40571,0,1,10
48483,8,1,4
21,10,1,919
50380,0,1,3
40586,0,1,3
48736,0,1,9
40356,0,1,1
47159,0,1,3
49891,0,1,2
43523,0,1,2
38474,0,1,5
36793,7,2,12
37956,8,2,12
38101,8,2,12
22199,8,2,24
22147,9,2,13
30206,7,2,1
9989,8,2,11
11433,7,2,12
11111,8,2,12
11701,7,2,1
38753,8,2,12
6347,8,2,13
8516,8,2,13
9471,6,2,2
22789,8,2,12
10396,7,2,12
13535,8,2,13
34572,9,2,170
269,9,2,366
8247,7,2,1
41467,10,2,13
34618,7,2,12
11633,7,2,10
18441,6,2,1
31043,10,2,12
31964,9,2,13
33486,10,2,25
36456,10,2,25
38408,10,2,25
41587,8,2,25
10719,7,2,12
21405,8,2,12
24973,6,2,14
24913,7,2,1
38186,8,2,13
31478,8,2,12
32867,9,2,12
38003,10,2,12
33071,8,2,1
10163,7,2,11
44511,10,2,12
28999,9,2,13
31553,7,2,1
16157,8,2,12
20479,8,2,1
14741,7,2,12
16934,7,2,1
35608,8,2,1
18671,7,2,12
2167,10,2,23
4181,10,2,24
6351,8,2,1
4059,8,2,1
1575,9,2,25
2904,10,2,25
20031,8,2,12
23383,8,2,1
12549,6,2,12
11843,7,2,12
15583,7,2,12
24655,7,2,1
17641,7,2,1
9379,8,2,12
10638,7,2,1
37520,10,2,24
38145,8,2,12
225,6,2,64
813,6,2,291
28121,8,2,13
32887,8,2,12
37347,8,2,12
40064,7,2,1
32801,7,2,1
6746,10,2,24
8408,7,2,2
27833,10,2,12
23199,8,2,12
27831,9,2,12
6702,7,2,175
22043,8,2,102
34321,7,2,1
40206,7,2,1
25537,10,2,1
22297,9,2,12
28701,9,2,13
27821,9,2,1
10087,9,2,13
11741,10,2,12
33731,7,2,12
34855,8,2,2
24765,10,2,12
23289,9,2,12
27633,7,2,6
32607,7,2,12
16918,10,2,11
19363,10,2,11
14811,7,2,12
21273,7,2,12
29787,8,2,12
33280,8,2,1
21431,7,2,13
17895,8,2,24
8425,10,2,24
17729,7,2,13
29101,6,2,6
29093,8,2,1
29095,10,2,10
31368,7,2,5
