anime_id,score,watching_status,watched_episodes
49596,10,1,12
31964,8,1,12
48316,8,1,20
47778,8,1,0
2403,6,1,0
21,9,1,0
16498,7,1,24
49891,6,1,0
49335,9,1,0
38101,9,2,12
22199,8,2,24
44193,9,2,2
24833,9,2,22
36882,9,2,13
40507,8,2,12
34572,8,2,170
31043,7,2,12
44511,8,2,12
28999,10,2,13
14741,8,2,12
1575,9,2,25
37699,8,2,2
35849,9,2,24
1535,8,2,37
38691,9,2,24
30694,8,2,131
36946,6,2,1
28121,6,2,13
39530,7,2,2
32872,8,2,2
22043,8,2,102
121,8,2,51
48760,6,2,12
34280,7,2,12
28907,7,2,12
37349,7,2,12
15809,8,2,13
11617,8,2,12
21877,8,2,12
8074,9,2,12
42897,10,2,13
11061,8,2,148
37210,8,2,12
41623,8,2,10
22429,10,2,1
40750,5,2,12
40839,4,2,12
50622,8,2,1
18679,7,2,24
38000,8,2,26
49926,8,2,7
32281,10,2,1
22535,9,2,24
28851,10,2,1
30831,9,2,10
11771,7,2,25
17265,8,2,25
31741,8,2,13
14513,7,2,25
40496,7,2,13
5962,9,2,51
39535,9,2,11
23755,6,2,24
1735,7,2,500
30,10,2,26
1210,10,2,24
19815,10,2,12
30276,9,2,12
34134,8,2,12
40746,8,2,8
29803,9,2,13
15409,9,2,1
30296,8,2,12
31240,9,2,25
33255,8,2,120
35994,9,2,16
23273,8,2,22
48736,8,2,12
3588,8,2,51
50265,6,2,12
11757,10,2,25
35790,8,2,25
37430,9,2,24
41353,7,2,13
22319,8,2,12
42249,8,2,24
4224,9,2,25
41226,7,2,12
37521,7,2,24
41094,6,2,15
37779,8,2,12
50346,9,2,13
35507,10,2,12
36726,7,2,12
1195,8,2,13
15583,7,3,11
34443,6,4,0
1,5,4,0
20583,5,4,0
48413,3,4,0
37141,6,4,0
34012,5,4,0
35203,2,4,0
36407,5,4,0
36023,7,4,0
37450,7,4,0
38659,3,4,0
28171,8,4,0
21881,2,4,0
481,8,4,0
2167,0,6,0
42310,0,6,0
