anime_id,score,watching_status,watched_episodes
40956,0,1,18
37140,0,1,4
918,0,1,135
953,0,1,0
50590,0,1,2
21,9,1,1045
42205,0,1,13
90,0,1,11
50602,0,1,3
35968,0,1,4
481,0,1,67
5525,8,2,25
31646,10,2,22
32998,8,2,12
102,8,2,26
31580,8,2,13
33253,9,2,13
30123,9,2,12
31173,9,2,12
31483,7,2,1
25013,9,2,24
22729,6,2,12
27655,5,2,12
31588,0,2,25
3359,8,2,13
15085,7,2,12
11111,7,2,12
24833,9,2,22
30654,10,2,25
21995,9,2,12
9919,7,2,25
33506,10,2,12
16518,8,2,12
12967,7,2,12
4999,7,2,12
586,8,2,11
21185,8,2,25
34636,8,2,24
36649,7,2,24
32664,6,2,13
22789,9,2,12
67,8,2,24
57,9,2,26
9513,8,2,60
4908,5,2,12
27727,7,2,12
31417,0,2,12
35182,0,2,1
40752,0,2,12
1498,8,2,12
20787,5,2,13
68,8,2,23
269,7,2,366
1686,7,2,1
2889,8,2,1
4835,7,2,1
762,7,2,1
834,6,2,1
34618,8,2,12
11633,8,2,10
31043,9,2,12
31964,9,2,13
33486,10,2,25
36456,9,2,25
38408,10,2,25
36896,8,2,1
38302,10,2,12
819,6,2,1
1222,9,2,26
21405,9,2,12
357,4,2,8
2131,4,2,4
25839,6,2,24
11241,8,2,12
15605,7,2,12
21437,8,2,13
33056,8,2,3
34173,8,2,4
31478,7,2,12
10163,7,2,11
10012,9,2,12
12187,8,2,1
15927,7,2,1
44511,0,2,12
4975,6,2,12
32483,8,2,12
10800,9,2,25
14397,9,2,25
38449,0,2,11
6645,5,2,12
2167,9,2,23
4181,8,2,24
1818,7,2,26
8888,8,2,1
15197,8,2,1
15199,8,2,1
15201,8,2,1
30711,8,2,1
1575,10,2,25
2904,10,2,25
8142,10,2,1
13807,6,2,1
15037,8,2,4
15109,8,2,12
1482,9,2,103
61,7,2,26
44406,8,2,12
35988,8,2,12
6747,5,2,12
29976,7,2,12
11843,7,2,12
2025,9,2,25
4182,9,2,1
6573,8,2,12
32494,8,2,24
6880,7,2,12
10418,7,2,1
14353,8,2,1
1535,10,2,37
28223,10,2,12
3702,5,2,12
35120,9,2,10
17513,5,2,12
29974,7,2,12
18689,8,2,75
36524,0,2,1
31710,6,2,12
37520,10,2,24
38691,10,2,24
40852,9,2,11
39026,9,2,12
6746,8,2,24
8408,8,2,2
23199,8,2,12
226,6,2,13
376,6,2,1
38671,9,2,24
790,9,2,23
15,9,2,145
