anime_id,score,watching_status,watched_episodes
49918,9,1,13
34566,7,1,220
44511,10,1,11
47164,8,1,7
20689,9,1,7
41345,0,1,5
21,10,1,1041
42923,0,1,6
41380,0,2,12
44881,0,2,12
11759,10,2,24
13939,10,2,2
1292,0,2,5
37403,0,2,50
857,10,2,25
9919,10,2,25
11737,0,2,1
33506,0,2,12
937,10,2,1
54,9,2,1
2969,10,2,1
36882,0,2,13
40507,8,2,12
3166,8,2,12
2251,0,2,13
34443,0,2,26
7674,10,2,25
10030,10,2,25
12365,10,2,25
288,7,2,51
5675,10,2,26
57,10,2,26
9513,9,2,60
3446,10,2,1
1498,9,2,12
20787,10,2,13
68,9,2,23
34572,0,2,170
889,0,2,12
6920,10,2,12
3407,10,2,24
269,8,2,366
1686,8,2,1
2889,8,2,1
4835,9,2,1
8247,0,2,1
762,8,2,1
41467,10,2,13
834,9,2,1
11633,0,2,10
34751,0,2,1
405,0,2,1
31964,0,2,13
36456,0,2,25
38408,0,2,25
41587,9,2,25
36896,0,2,1
39565,0,2,1
42603,0,2,2
6772,10,2,1
8514,10,2,1
9252,10,2,1
9465,10,2,1
9724,10,2,1
10092,10,2,1
31478,0,2,12
32867,0,2,12
38003,0,2,12
34944,0,2,1
33071,0,2,1
4186,10,2,24
1818,9,2,26
1953,10,2,9
1482,7,2,103
61,9,2,26
6880,0,2,12
1535,10,2,37
1726,0,2,12
35120,0,2,10
552,0,2,54
1313,0,2,50
2961,0,2,1
1132,6,2,50
859,8,2,48
37520,0,2,24
50612,9,2,1
40852,0,2,11
43555,0,2,1
223,0,2,153
225,0,2,64
6033,0,2,97
22777,0,2,61
502,0,2,1
891,0,2,1
892,0,2,1
893,0,2,1
30694,0,2,131
36946,0,2,1
813,0,2,291
894,0,2,1
895,0,2,1
896,0,2,1
897,0,2,1
898,0,2,1
899,0,2,1
900,0,2,1
901,0,2,1
902,0,2,1
903,0,2,1
904,0,2,1
905,0,2,1
906,0,2,1
14837,0,2,1
25389,0,2,1
984,0,2,2
28121,0,2,13
37347,0,2,12
40064,0,2,1
40454,0,2,12
37348,0,2,1
226,10,2,13
38671,0,2,24
40956,0,2,24
15,10,2,145
6702,10,2,175
22043,10,2,102
12049,10,2,1
17535,0,2,1
30778,0,2,1
35972,0,2,51
356,10,2,24
71,0,2,24
121,10,2,51
5114,0,2,64
25183,0,2,12
18229,0,2,12
23703,0,2,1
21039,0,2,12
30925,0,2,1
37349,0,2,12
27631,0,2,13
10470,0,2,1
287,9,2,24
10793,10,2,22
12419,7,2,1
267,0,2,26
263,10,2,75
264,0,2,1
5258,10,2,26
19647,0,2,25
270,10,2,13
777,10,2,10
6904,9,2,1
7728,10,2,1
2002,10,2,26
8074,10,2,12
11061,10,2,148
1956,0,2,12
4196,0,2,12
14719,0,2,26
40748,0,2,24
48561,9,2,1
14467,10,2,13
16904,0,2,1
27991,0,2,13
33248,0,2,1
37303,0,2,1
37304,0,2,1
37305,0,2,1
37306,0,2,1
37307,0,2,1
40221,0,2,13
1604,10,2,203
6205,7,2,12
1606,8,2,52
845,10,2,51
38000,0,2,26
40456,10,2,1
49926,10,2,7
47778,10,2,11
22535,0,2,24
34104,0,2,13
237,10,2,50
37984,0,2,24
11771,9,2,25
16894,0,2,25
24415,0,2,25
32869,0,2,1
32870,0,2,1
32871,0,2,1
31658,0,2,1
31051,0,2,1
39017,0,2,12
17265,0,2,25
23321,0,2,25
41109,9,2,12
3572,10,2,25
31741,0,2,13
18115,0,2,25
14513,9,2,25
19769,8,2,12
23755,0,2,24
41491,0,2,24
34577,0,2,24
36923,0,2,1
39701,0,2,24
31722,0,2,4
20,9,2,220
1735,10,2,500
2472,9,2,1
4437,10,2,1
6325,10,2,1
13667,0,2,1
30,10,2,26
19815,0,2,12
33674,0,2,1
7592,10,2,24
10049,10,2,24
30276,0,2,12
45560,8,2,12
51368,8,2,12
29803,0,2,13
35073,0,2,13
37675,9,2,13
48895,9,2,13
26243,0,2,12
28927,0,2,12
31756,0,2,1
3366,8,2,26
9981,9,2,25
12753,8,2,25
15651,0,2,25
44961,10,2,24
527,7,2,276
37202,0,2,21
39355,0,2,21
31240,0,2,25
39587,0,2,13
28497,0,2,12
205,9,2,26
6974,10,2,13
154,9,2,64
42205,0,2,52
1559,10,2,50
7724,8,2,22
16498,10,2,25
39478,0,2,1
23775,0,2,1
23777,0,2,1
18397,0,2,3
25777,0,2,12
36702,0,2,1
35760,0,2,12
38524,0,2,10
48583,10,2,12
23233,0,2,12
30363,0,2,10
36688,0,2,1
29027,0,2,1
28171,0,2,24
32282,0,2,13
35788,0,2,12
36949,0,2,12
39940,0,2,12
2923,8,2,51
5262,8,2,51
3588,0,2,51
32105,0,2,50
950,9,2,1
876,9,2,29
979,10,2,1
18277,10,2,24
16524,0,2,13
11757,10,2,25
36475,0,2,12
21881,0,2,24
31765,0,2,1
36474,0,2,24
39597,0,2,12
40540,0,2,11
29758,0,2,12
35790,0,2,25
40356,8,2,13
2001,0,2,27
174,10,2,24
37430,0,2,24
39551,0,2,12
41353,0,2,13
22319,0,2,12
27899,0,2,12
36511,0,2,12
42249,9,2,24
10033,10,2,147
6,0,2,26
29854,0,2,26
31098,0,2,13
202,9,2,26
24405,0,2,73
550,7,2,27
481,7,2,224
1195,8,2,13
11837,0,2,13
14075,8,2,24
18689,9,4,17
136,4,4,5
39199,0,4,1
6114,9,4,8
7058,10,4,1
3457,6,4,6
41433,0,6,0
28223,0,6,0
42192,0,6,0
48760,0,6,0
6895,0,6,0
37210,0,6,0
41623,0,6,0
13601,0,6,0
13599,0,6,0
40028,0,6,0
2031,9,6,0
7662,0,6,0
40902,0,6,0
5958,0,6,0
41487,0,6,0
37799,0,6,0
50273,0,6,0
48580,0,6,0
49114,0,6,0
40907,0,6,0
44940,0,6,0
40174,0,6,0
