anime_id,score,watching_status,watched_episodes
9062,7,1,1
269,0,1,250
1726,0,1,5
21821,0,1,0
5886,0,1,1
17074,0,1,9
1735,4,1,282
18397,0,1,0
534,0,1,11
2928,6,2,1
3269,8,2,1
4469,6,2,1
454,6,2,1
1143,8,2,1
299,7,2,4
9332,8,2,3
873,8,2,26
48,8,2,26
298,6,2,12
1994,4,2,1
11375,8,2,1
1487,7,2,1
15219,6,2,1
15527,2,2,1
7113,6,2,1
3685,6,2,1
1292,7,2,5
13709,8,2,1
2796,1,2,1
6535,1,2,1
2554,4,2,51
12865,5,2,5
13053,7,2,1
2221,2,2,42
17082,2,2,12
283,4,2,50
8713,6,2,1
6987,2,2,1
8577,3,2,2
47,8,2,1
16201,1,2,13
17901,6,2,1
5270,6,2,1
2225,1,2,52
1998,6,2,4
1223,5,2,1
19217,1,2,1
10516,6,2,1
6547,8,2,13
10067,7,2,1
2832,5,2,15
2333,6,2,52
3080,5,2,1
15423,5,2,1
7193,8,2,12
15133,2,2,3
6950,1,2,1
8701,1,2,1
1202,2,2,1
16518,5,2,12
14373,6,2,1
3960,1,2,1
1205,7,2,6
3401,6,2,3
13863,7,2,1
12581,3,2,1
16319,1,2,1
1946,5,2,50
5168,4,2,1
971,6,2,50
6533,6,2,1
3081,4,2,58
9846,6,2,1
10196,3,2,1
2251,7,2,13
3901,7,2,3
12145,1,2,156
5081,8,2,15
6948,6,2,1
2705,6,2,51
2706,6,2,51
288,7,2,51
1669,6,2,51
1668,6,2,52
10501,4,2,1
4094,7,2,6
20543,6,2,1
530,4,2,46
740,4,2,43
532,4,2,38
996,4,2,34
4070,6,2,1
889,8,2,12
8440,7,2,7
4901,8,2,5
1519,8,2,12
1270,6,2,1
12079,7,2,1
7059,7,2,1
11285,3,2,8
1055,6,2,6
3430,6,2,2
3429,4,2,1
11633,6,2,10
18441,6,2,1
11691,1,2,1
11869,1,2,1
13253,7,2,1
2142,4,2,51
4197,4,2,51
8939,5,2,1
16405,1,2,12
16936,1,2,1
1639,1,2,1
7597,4,2,1
9907,3,2,1
11511,4,2,1
6772,7,2,1
8514,7,2,1
9252,7,2,1
9465,7,2,1
9724,7,2,1
10092,7,2,1
8648,5,2,6
15605,1,2,12
3389,3,2,3
11103,6,2,10
13169,4,2,1
1689,5,2,3
1657,1,2,3
16606,1,2,1
5116,6,2,1
3456,6,2,1
2116,7,2,128
1674,6,2,47
1614,6,2,52
4981,4,2,24
1598,7,2,4
2043,6,2,73
11689,1,2,1
8628,6,2,1
11679,1,2,1
6346,2,2,1
10800,8,2,25
10799,4,2,1
14277,1,2,26
16169,3,2,13
3962,1,2,13
18599,1,2,1
6484,4,2,1
17127,1,2,12
16157,2,2,12
14741,9,2,12
15879,5,2,7
16934,7,2,1
15687,7,2,6
1470,7,2,51
1473,7,2,13
1471,7,2,63
1472,7,2,13
2274,6,2,1
2768,6,2,1
2167,8,2,23
1723,6,2,1
4181,10,2,24
6351,8,2,1
4059,9,2,1
1890,7,2,1
8888,7,2,1
1575,9,2,25
8728,3,2,1
12685,3,2,1
1953,5,2,9
2904,9,2,25
5163,5,2,9
2124,7,2,2
4596,7,2,1
841,2,2,16
14317,3,2,1
3506,6,2,1
10029,6,2,1
13807,2,2,1
15037,4,2,4
1,8,2,26
17205,5,2,1
5,8,2,1
4037,5,2,1
15893,1,2,3
22839,7,2,1
2907,6,2,66
17397,2,2,12
6855,1,2,1
233,6,2,78
16592,7,2,13
16355,3,2,13
17121,7,2,1
4531,1,2,1
2748,7,2,65
15583,4,2,12
16602,1,2,1
14353,8,2,1
1535,9,2,37
2994,8,2,2
7953,7,2,1
1826,4,2,65
6777,1,2,1
1363,6,2,1
1365,7,2,1
5460,6,2,1
16512,4,2,13
2252,7,2,39
19209,1,2,1
17733,1,2,39
552,7,2,54
1313,7,2,50
2961,6,2,1
1132,6,2,50
874,6,2,51
3684,2,2,1
332,8,2,38
10691,4,2,1
6215,6,2,1
3312,5,2,74
2222,5,2,243
223,4,2,153
225,1,2,64
987,1,2,1
502,4,2,1
891,4,2,1
892,4,2,1
893,4,2,1
2520,4,2,2
813,4,2,291
894,4,2,1
895,4,2,1
896,4,2,1
897,4,2,1
898,4,2,1
899,4,2,1
900,4,2,1
901,5,2,1
902,5,2,1
903,2,2,1
904,4,2,1
905,4,2,1
906,4,2,1
986,5,2,1
985,3,2,1
1685,6,2,26
2953,5,2,1
9502,2,2,1
12623,7,2,1
788,1,2,2
6935,1,2,1
2759,10,2,1
3784,10,2,1
3785,10,2,1
3525,5,2,1
15883,2,2,12
13793,1,2,1
14829,4,2,10
19109,4,2,5
