anime_id,score,watching_status,watched_episodes
49596,8,1,12
47917,0,1,3
49918,7,1,13
49709,8,1,10
51367,0,1,0
15051,0,1,2
877,8,1,31
2787,8,1,13
31646,9,2,22
35180,9,2,22
38101,9,2,12
39783,8,2,12
41457,10,2,11
48569,10,2,12
22199,9,2,24
6547,9,2,13
11111,4,2,12
11701,1,2,1
24833,8,2,22
30654,8,2,25
9919,9,2,25
33506,8,2,12
38753,8,2,12
7647,8,2,13
9074,8,2,13
66,9,2,26
1593,8,2,1
2251,8,2,13
3901,8,2,3
5081,9,2,15
7674,8,2,25
10030,8,2,25
12365,8,2,25
22789,9,2,12
39195,8,2,12
40935,8,2,12
13535,8,2,13
40752,8,2,12
889,10,2,12
4901,9,2,5
1519,8,2,12
269,10,2,366
46352,8,2,12
31043,9,2,12
31964,8,2,13
33486,9,2,25
36456,8,2,25
38408,10,2,25
41587,7,2,25
40904,8,2,12
232,9,2,70
44511,9,2,12
14741,6,2,12
18671,7,2,12
2167,9,2,23
4181,9,2,24
1818,8,2,26
1575,10,2,25
2904,10,2,25
1,10,2,26
34103,8,2,1
32189,8,2,12
33028,8,2,11
16592,8,2,13
15583,8,2,12
19163,8,2,10
36633,8,2,12
41461,8,2,12
14353,9,2,1
1535,10,2,37
28223,9,2,12
38668,9,2,12
38691,8,2,24
40852,8,2,11
223,10,2,153
225,8,2,64
6033,7,2,97
30694,6,2,131
813,10,2,291
39026,8,2,12
6746,9,2,24
27833,8,2,12
23199,9,2,12
27831,8,2,12
39792,8,2,12
226,7,2,13
38671,8,2,24
40956,8,2,24
32901,3,2,12
2759,9,2,1
3784,7,2,1
3785,8,2,1
3786,10,2,1
34662,7,2,25
33047,7,2,10
37651,7,2,3
38084,5,2,21
14829,4,2,10
27525,4,2,10
20509,4,2,10
31706,3,2,12
356,8,2,24
22297,7,2,12
28701,7,2,13
10087,8,2,13
11741,8,2,12
120,7,2,26
38680,8,2,25
40417,8,2,25
42938,8,2,13
41120,8,2,11
121,10,2,51
5114,10,2,64
41025,8,2,20
240,7,2,12
2508,7,2,12
18465,7,2,13
918,10,2,201
7472,10,2,1
15335,10,2,1
9969,10,2,51
15417,10,2,13
34096,10,2,12
35843,10,2,13
36838,10,2,12
37491,10,2,14
39486,10,2,1
44087,10,2,2
21899,10,2,2
28977,10,2,51
4872,7,2,3
34279,5,2,24
37105,8,2,12
20583,8,2,25
32935,8,2,10
28891,8,2,25
38883,8,2,13
40776,9,2,12
21855,8,2,5
15809,8,2,13
48413,7,2,12
37141,8,2,13
41694,8,2,13
39586,8,2,8
270,8,2,13
777,6,2,10
11077,6,2,3
8074,8,2,12
934,8,2,26
41006,6,2,24
1889,8,2,24
3652,7,2,5
48488,4,2,15
28825,8,2,12
35376,7,2,12
36296,8,2,12
37614,8,2,12
42897,6,2,13
136,10,2,62
11061,10,2,148
42361,7,2,12
5231,8,2,127
39534,8,2,12
14719,9,2,26
20899,10,2,24
26055,10,2,24
31933,7,2,39
37991,8,2,39
48661,8,2,12
12679,8,2,13
40748,9,2,24
5680,8,2,13
7791,8,2,26
37999,9,2,12
43608,9,2,13
40591,9,2,12
40750,1,2,12
34933,8,2,12
37086,8,2,12
40221,8,2,13
35860,8,2,12
38993,8,2,12
49721,8,2,12
6594,8,2,12
33187,8,2,1
18679,9,2,24
38000,8,2,26
49926,8,2,7
47778,8,2,11
9260,9,2,1
31757,9,2,1
31758,9,2,1
33206,8,2,13
39247,8,2,12
48926,8,2,12
50631,8,2,12
30831,8,2,10
32937,8,2,10
32268,8,2,12
11771,8,2,25
16894,8,2,25
24415,9,2,25
33489,8,2,25
1887,7,2,24
50709,8,2,13
8792,8,2,1
31741,8,2,13
18115,8,2,25
14513,8,2,25
38256,7,2,13
41530,7,2,8
49291,5,2,4
9756,8,2,12
35062,6,2,24
48483,8,2,12
10620,5,2,26
32182,9,2,12
37510,9,2,13
50172,9,2,12
17074,10,2,26
19,9,2,74
