anime_id,score,watching_status,watched_episodes
34881,10,1,2
9513,10,1,40
33486,10,1,13
32407,0,1,1
29589,0,1,24
34543,10,1,1
31629,10,1,4
34403,10,1,1
33654,10,1,7
33840,0,1,2
34933,10,1,11
34934,10,1,2
35434,10,1,1
34599,10,1,2
31741,10,1,0
1735,10,1,400
34534,0,1,2
35069,0,1,8
34902,10,1,6
35507,10,1,2
30123,0,2,12
22199,10,2,24
6547,0,2,13
9989,10,2,11
15039,10,2,1
11111,0,2,12
24833,10,2,22
30654,10,2,25
21995,0,2,12
6347,10,2,13
8516,0,2,13
22789,10,2,12
31043,10,2,12
31964,10,2,13
14345,10,2,12
31478,10,2,12
32867,10,2,12
28999,0,2,13
14741,10,2,12
15037,0,2,4
11843,10,2,12
15583,0,2,12
19163,10,2,10
22961,10,2,1
24655,10,2,1
16512,10,2,13
21743,10,2,12
30346,10,2,1
23333,0,2,12
28121,10,2,13
226,0,2,13
18507,10,2,12
22265,0,2,13
33222,10,2,12
32696,10,2,13
33203,10,2,12
33731,10,2,12
24765,0,2,12
850,0,2,13
23289,10,2,12
23251,10,2,12
32648,0,2,12
15225,0,2,12
22835,10,2,13
28825,0,2,12
33948,10,2,12
10408,10,2,1
11135,10,2,4
12189,10,2,22
21327,0,2,12
3092,10,2,12
4814,10,2,12
25649,10,2,12
14467,0,2,13
5680,0,2,13
9617,0,2,1
7791,0,2,26
21563,10,2,12
14713,10,2,13
25681,10,2,12
21511,0,2,12
32281,10,2,1
10460,10,2,13
11739,10,2,13
22535,0,2,24
33206,10,2,13
8876,0,2,2
28851,10,2,1
11887,0,2,13
15439,0,2,1
30831,10,2,10
32937,10,2,10
32380,10,2,1
11771,10,2,25
16894,10,2,25
24415,10,2,25
4898,10,2,24
6707,0,2,12
32949,10,2,12
33605,10,2,20
15051,10,2,13
19111,10,2,13
32526,0,2,13
24997,0,2,1
21105,10,2,10
14513,10,2,25
33487,10,2,12
8460,0,2,1
10620,0,2,26
30307,0,2,12
31442,0,2,13
20,10,2,220
4081,10,2,13
32983,10,2,11
34591,10,2,11
10379,10,2,13
11665,10,2,13
18849,10,2,1
31404,0,2,12
31414,10,2,24
18897,10,2,20
27787,10,2,12
19815,10,2,12
10161,10,2,11
17549,10,2,12
23623,10,2,12
20507,10,2,12
30503,10,2,13
28819,10,2,12
32603,10,2,12
30276,10,2,12
23673,10,2,12
25099,0,2,12
28297,10,2,24
8769,0,2,12
13659,0,2,13
24211,10,2,13
31174,10,2,25
34262,10,2,12
19369,10,2,12
26243,0,2,12
28927,0,2,12
27775,10,2,13
30240,10,2,12
28619,0,2,11
31240,9,2,25
32542,0,2,12
13759,10,2,24
2476,0,2,12
22877,0,2,12
9926,10,2,12
11123,10,2,12
20371,10,2,1
8063,10,2,2
20815,10,2,1
31540,10,2,12
5355,0,2,12
15751,10,2,13
31229,10,2,12
18119,10,2,13
23273,0,2,22
29786,10,2,12
16498,10,2,25
25777,10,2,12
22101,0,2,12
31680,10,2,10
33417,10,2,10
11757,10,2,25
21881,10,2,24
32093,0,2,12
12695,0,2,2
22319,10,2,12
27899,10,2,12
14813,10,2,13
23847,0,2,13
32995,10,2,12
10495,0,2,12
23225,0,2,1
30902,0,2,2
30279,0,2,12
12403,0,2,12
5300,10,2,13
31245,10,2,1
6746,10,3,24
31109,0,3,5
16035,0,3,5
29163,9,3,4
25157,10,3,7
16742,0,3,12
32899,0,3,5
32951,1,4,12
9919,0,6,25
30205,0,6,12
27727,0,6,12
1535,10,6,37
27833,0,6,12
23199,0,6,12
27831,0,6,12
918,0,6,201
28977,0,6,51
31859,0,6,12
15809,0,6,13
32182,0,6,12
21,10,6,700
35067,0,6,0
853,0,6,26
30015,0,6,13
33255,0,6,120
9863,0,6,77
34086,0,6,13
17909,0,6,13
