anime_id,score,watching_status,watched_episodes
9062,8,1,1
6347,8,1,6
14753,7,1,2
8841,8,1,11
7627,10,1,12
13267,8,1,2
9776,9,2,12
10737,7,2,11
101,9,2,13
12149,7,2,13
14941,7,2,13
6547,9,2,13
9989,9,2,11
11737,8,2,1
14669,10,2,1
5081,10,2,15
7674,8,2,25
10030,7,2,25
12365,7,2,25
12079,8,2,1
7059,9,2,1
11285,7,2,8
1050,9,2,76
1689,10,2,3
2167,9,2,23
4181,10,2,24
10029,7,2,1
1535,9,2,37
9379,10,2,12
10638,9,2,1
16419,8,2,49
790,7,2,23
6702,6,2,175
12049,7,2,1
17535,7,2,1
9982,8,2,5
18393,7,2,1
13281,7,2,1
227,6,2,6
603,7,2,49
1929,8,2,47
1534,8,2,49
4725,8,2,12
2890,7,2,1
246,8,2,51
6574,9,2,12
21855,8,2,5
9289,9,2,26
15809,8,2,13
7645,5,2,49
15225,7,2,12
10357,9,2,12
5680,9,2,13
9617,10,2,1
7791,8,2,26
9203,8,2,9
6862,7,2,1
16009,7,2,12
144,10,2,13
7711,7,2,1
572,7,2,1
5678,9,2,24
19703,7,2,10
13655,7,2,26
14349,8,2,1
189,8,2,24
631,7,2,1
276,8,2,12
277,8,2,14
7066,7,2,2
157,7,2,26
3948,7,2,3
6050,8,2,4
4188,8,2,3
9756,9,2,12
11977,8,2,1
11979,7,2,1
11981,8,2,1
17074,9,2,26
9181,9,2,12
1174,7,2,1
1135,7,2,1
1546,7,2,26
1619,8,2,1
1732,8,2,1
15689,10,2,4
18897,9,2,20
11597,10,2,11
10197,5,2,12
5957,8,2,13
12355,7,2,1
12221,8,2,1
10448,7,2,1
6675,7,2,1
13759,8,2,24
11751,7,2,13
8557,7,2,12
9888,7,2,2
10849,8,2,1
15453,7,2,1
10378,7,2,12
2923,8,2,51
7082,7,2,25
5262,7,2,51
12191,10,2,48
15307,9,2,1
6802,8,2,12
8197,8,2,2
1965,9,2,13
5702,8,2,9
3588,9,2,51
21195,7,2,51
9253,9,2,24
10863,8,2,1
9893,8,2,48
849,8,2,14
4382,9,2,14
5118,8,2,25
11757,8,2,25
2001,9,2,27
4565,7,2,1
513,8,2,1
3455,9,2,26
5667,8,2,6
523,7,2,1
4224,9,2,25
11553,8,2,1
6127,8,2,4
28025,10,2,4
343,9,2,25
2580,8,2,1
10162,9,2,11
13171,7,2,1
6956,7,2,13
10521,8,2,13
10532,6,2,2
20359,6,2,1
1932,8,2,49
3692,8,2,48
4038,7,2,51
10067,0,6,0
10396,0,6,0
20423,0,6,0
9260,0,6,0
21603,0,6,0
16067,0,6,0
19315,0,6,0
5958,0,6,0
11577,0,6,0
