anime_id,score,watching_status,watched_episodes
37521,8,1,4
38735,4,2,12
22199,6,2,24
9989,8,2,11
9919,6,2,25
38753,6,2,12
32827,6,2,12
34443,6,2,26
34618,7,2,12
31043,5,2,12
31964,7,2,13
33486,7,2,25
36456,8,2,25
38408,5,2,25
1639,2,2,1
1,10,2,26
35849,5,2,24
1535,7,2,37
33988,6,2,12
37982,3,2,12
28121,8,2,13
32901,4,2,12
6702,5,2,175
34662,8,2,25
33047,6,2,10
22297,10,2,12
10087,9,2,13
11741,9,2,12
5114,10,2,64
33731,6,2,12
2890,6,2,1
34280,6,2,12
1829,4,2,1
40052,8,2,23
650,8,2,3
37141,8,2,13
41694,8,2,13
21877,8,2,12
40010,3,2,12
14719,7,2,26
20899,7,2,24
26055,8,2,24
31933,9,2,39
37991,9,2,39
40748,9,2,24
37999,8,2,12
34933,5,2,12
40839,7,2,12
16662,9,2,1
18679,10,2,24
38000,7,2,26
40456,9,2,1
32281,9,2,1
22535,9,2,24
28851,10,2,1
30831,8,2,10
32937,8,2,10
15379,6,2,12
416,9,2,1
33489,7,2,25
1430,8,2,1
512,8,2,1
10620,4,2,26
32182,9,2,12
37510,9,2,13
164,9,2,1
41168,7,2,1
23755,7,2,24
34577,6,2,24
39701,4,2,24
20,6,2,220
1735,6,2,500
30,9,2,26
18897,5,2,20
27787,6,2,12
19815,8,2,12
30276,8,2,12
2966,9,2,13
13659,5,2,13
8795,7,2,13
437,10,2,1
30240,7,2,12
31240,8,2,25
39587,9,2,13
33255,8,2,120
34612,8,2,24
38249,7,2,1
37450,9,2,13
199,10,2,1
29786,5,2,12
16498,8,2,25
25777,9,2,12
35760,8,2,12
38524,10,2,10
40028,9,2,16
31374,6,2,12
11757,3,2,25
36475,7,2,12
21881,2,2,24
36474,4,2,24
35790,7,2,25
2001,8,2,27
22319,6,2,12
42249,9,2,24
523,8,2,1
4224,9,2,25
34902,6,2,12
34498,4,2,1
33352,10,2,13
16742,6,2,12
6956,7,2,13
37779,7,2,12
32615,8,2,12
392,9,3,61
269,6,4,112
37086,5,4,4
34712,4,4,9
21,6,4,31
36023,4,4,9
5081,0,6,0
28223,0,6,0
35120,0,6,0
3002,0,6,0
21855,0,6,0
44042,0,6,0
35557,0,6,0
9260,0,6,0
31757,0,6,0
31758,0,6,0
17074,0,6,0
15689,0,6,0
11597,0,6,0
12355,0,6,0
5341,0,6,0
40834,0,6,0
31181,0,6,0
35247,0,6,0
13601,0,6,0
23281,0,6,0
39491,0,6,0
210,0,6,0
205,0,6,0
28025,0,6,0
