anime_id,score,watching_status,watched_episodes
31397,9,1,2
6682,7,2,12
7739,6,2,1
5762,9,2,3
29809,8,2,1
41457,10,2,11
48569,10,2,12
49235,6,2,1
11759,10,2,24
13939,10,2,2
13859,7,2,8
2852,7,2,4
3680,8,2,2
101,8,2,13
25241,8,2,24
22199,10,2,24
26449,7,2,1
4744,9,2,12
5772,9,2,1
6987,9,2,1
8577,8,2,2
9849,10,2,1
11745,7,2,2
16059,6,2,1
4010,6,2,2
30128,10,2,1
8676,10,2,25
9117,10,2,6
11235,10,2,13
15951,7,2,2
12669,9,2,6
9925,10,2,1
22147,10,2,13
30206,10,2,1
30056,8,2,7
6286,7,2,2
9435,9,2,2
2867,8,2,2
27619,7,2,6
30739,7,2,3
24531,10,2,3
2411,9,2,2
30614,10,2,2
5194,10,2,2
4600,8,2,4
6547,10,2,13
10067,8,2,1
9062,8,2,2
4358,8,2,2
9989,10,2,11
15039,10,2,1
11433,8,2,12
11111,9,2,12
20365,7,2,1
11701,8,2,1
24833,9,2,22
28405,8,2,1
19759,8,2,1
28391,10,2,12
1202,8,2,1
4999,8,2,12
5081,10,2,15
6948,7,2,1
24641,8,2,1
6402,8,2,2
30795,10,2,12
31883,10,2,2
67,6,2,24
10396,9,2,12
12447,5,2,6
10421,8,2,1
368,10,2,6
972,7,2,2
2873,10,2,2
5347,7,2,1
1401,7,2,6
13223,7,2,1
30782,10,2,12
33712,10,2,5
31283,10,2,1
20589,9,2,1
13535,8,2,13
7266,7,2,1
7059,6,2,1
11285,4,2,8
18767,6,2,12
10694,9,2,2
2413,7,2,2
10719,8,2,12
14967,8,2,12
14027,8,2,1
10897,8,2,1
9907,10,2,1
25667,9,2,1
14345,7,2,12
5464,8,2,2
12293,10,2,13
10012,10,2,12
12187,10,2,1
15927,10,2,1
10578,10,2,12
12505,10,2,1
44511,8,2,12
30485,8,2,12
34753,7,2,1
35315,8,2,1
4975,6,2,12
21925,10,2,2
32895,8,2,2
753,7,2,2
15845,7,2,2
16157,10,2,12
20479,10,2,1
6558,8,2,3
16914,8,2,2
14741,10,2,12
15879,8,2,7
16934,10,2,1
15687,8,2,6
18671,8,2,12
21797,8,2,6
23237,8,2,7
27601,8,2,1
34257,10,2,13
35883,10,2,13
36942,10,2,0
37422,10,2,13
38211,10,2,3
35805,10,2,13
34489,10,2,1
38767,10,2,13
40753,10,2,3
35346,10,2,13
36500,10,2,13
37424,10,2,7
39654,10,2,7
3537,10,2,2
1,1,2,26
5,1,2,1
31636,10,2,12
36049,10,2,12
12549,10,2,12
14893,10,2,1
15325,7,2,1
30127,9,2,12
31683,9,2,1
12995,7,2,2
15583,10,2,12
19163,10,2,10
22961,10,2,1
17641,10,2,1
1535,1,2,37
21001,8,2,1
31118,8,2,1
25877,8,2,2
9379,10,2,12
10638,10,2,1
8086,9,2,24
9690,7,2,1
16512,7,2,13
7268,7,2,2
552,7,2,54
1313,7,2,50
2398,7,2,1
874,8,2,51
2983,6,2,1
2432,8,2,6
7456,7,2,2
3944,7,2,2
37982,10,2,12
20377,9,2,1
223,7,2,153
813,7,2,291
9330,7,2,12
31886,9,2,2
28121,10,2,13
32887,10,2,12
37347,10,2,12
40453,10,2,1
40064,7,2,1
40454,10,2,12
52357,7,2,1
47164,10,2,11
37348,10,2,1
32801,10,2,1
6746,10,2,24
8408,10,2,2
27833,10,2,12
32915,10,2,1
23199,10,2,12
30191,10,2,1
27831,10,2,12
31552,10,2,1
6691,6,2,1
226,10,2,13
376,10,2,1
32872,8,2,2
5315,9,2,2
10779,10,2,6
21167,10,2,12
33047,10,2,10
37651,10,2,3
14829,10,2,10
27525,10,2,10
31056,10,2,5
20509,10,2,10
25011,10,2,5
26057,10,2,1
31706,10,2,12
33456,10,2,6
19109,10,2,5
18851,10,2,1
356,10,2,24
25537,10,2,1
33049,10,2,1
33050,10,2,1
6922,8,2,1
7559,7,2,2
22297,10,2,12
28701,10,2,13
31389,8,2,1
27821,10,2,1
10087,7,2,13
11741,7,2,12
13183,5,2,2
13263,7,2,6
7053,9,2,3
16638,9,2,1
21829,10,2,1
24453,8,2,1
317,7,2,1
2952,7,2,1
408,7,2,1
6151,7,2,1
227,1,2,6
9970,8,2,2
8536,9,2,12
9347,9,2,1
9367,8,2,12
10172,8,2,6
18001,8,2,12
21373,8,2,6
29573,8,2,1
8110,9,2,2
71,10,2,24
73,10,2,13
6291,10,2,1
1015,10,2,1
72,10,2,12
121,1,2,51
430,1,2,1
22189,10,2,12
30988,10,2,2
25719,10,2,1
4725,10,2,12
24765,9,2,12
30243,9,2,4
8293,8,2,3
5214,8,2,2
30544,10,2,12
31737,10,2,12
34280,8,2,12
28907,10,2,12
31637,10,2,12
29261,9,2,2
34213,10,2,12
34481,10,2,2
32607,10,2,12
24855,8,2,12
9718,9,2,2
14811,8,2,12
21635,8,2,1
27631,8,2,13
10470,8,2,1
14993,7,2,1
21431,10,2,13
24695,10,2,1
17895,10,2,24
2494,8,2,12
8425,8,2,24
10504,6,2,1
31629,10,2,13
36587,10,2,12
40873,10,2,1
35814,10,2,1
297,8,2,12
4361,8,2,7
17729,10,2,13
29101,10,2,6
29093,10,2,1
31324,8,2,1
29095,10,2,10
31368,10,2,5
35868,10,2,2
42392,10,2,1
10793,7,2,22
411,5,2,26
5501,5,2,13
30812,7,2,1
3299,10,2,12
13161,10,2,12
15729,10,2,6
11785,10,2,12
26023,10,2,1
15699,10,2,12
23619,10,2,1
18713,10,2,1
2955,7,2,2
21855,10,2,5
9289,8,2,26
14175,8,2,1
587,10,2,6
35006,10,2,1
14991,10,2,2
15809,8,2,13
27829,10,2,24
5651,8,2,4
9322,10,2,4
27989,6,2,13
31988,6,2,13
31665,6,2,1
31096,6,2,7
8630,8,2,12
10604,8,2,1
11617,10,2,12
24703,8,2,12
31326,10,2,6
32215,10,2,1
15451,10,2,12
30300,10,2,1
12729,10,2,2
13357,10,2,6
8074,10,2,12
9515,10,2,1
934,10,2,26
41006,10,2,24
1889,10,2,24
6064,8,2,24
16700,10,2,1
10491,10,2,4
3652,10,2,5
48488,10,2,15
2899,10,2,1
13219,10,2,2
13217,8,2,1
2958,7,2,2
3917,9,2,2
6041,6,2,2
29807,9,2,1
4399,7,2,3
10079,10,2,12
11161,10,2,1
10408,8,2,1
5210,7,2,1
2896,6,2,3
431,5,2,1
25689,10,2,2
30237,10,2,2
15377,10,2,12
19255,10,2,6
8277,10,2,12
9362,10,2,6
30741,9,2,2
12189,10,2,22
13469,10,2,1
8654,7,2,3
7088,10,2,12
8465,10,2,6
1694,4,2,26
3406,4,2,9
40842,10,2,12
24273,7,2,2
257,7,2,13
1956,10,2,12
2905,10,2,6
26183,10,2,2
4196,10,2,12
5333,10,2,6
11255,10,2,1
7580,10,2,12
8507,10,2,6
5427,6,2,3
14047,6,2,2
1783,6,2,2
17831,7,2,12
249,8,2,167
452,8,2,1
450,8,2,1
451,8,2,1
449,8,2,1
6811,8,2,26
4886,7,2,1
9041,7,2,12
18247,7,2,12
20045,7,2,1
21653,7,2,1
10794,7,2,1
33012,10,2,12
7730,10,2,6
7897,7,2,1
9744,7,2,1
6392,8,2,1
25429,7,2,10
28713,8,2,1
9750,7,2,12
10934,7,2,1
33322,10,2,2
14995,10,2,2
10457,8,2,2
18653,6,2,2
4698,9,2,2
12413,9,2,12
13331,9,2,12
15735,6,2,1
27603,8,2,2
5680,10,2,13
9617,10,2,1
7791,10,2,26
9734,10,2,1
9203,7,2,9
6862,10,2,1
7017,7,2,7
3939,8,2,4
7262,6,2,2
10568,8,2,12
6465,7,2,4
9467,6,2,3
28313,5,2,2
7411,9,2,3
3503,8,2,12
4760,8,2,12
6791,8,2,2
7875,8,2,2
7712,7,2,2
9309,8,2,2
12961,7,2,3
6986,7,2,2
2593,10,2,1
3782,10,2,1
3783,10,2,1
4280,10,2,1
4282,10,2,1
5204,10,2,1
5205,10,2,1
7265,6,2,2
9311,3,2,2
3102,10,2,2
1691,9,2,24
6205,9,2,12
10076,9,2,2
7782,6,2,1
38000,10,2,26
40456,10,2,1
49926,10,2,7
47778,10,2,11
3229,8,2,13
31780,10,2,1
14661,9,2,2
11747,10,2,2
9260,10,2,1
31757,10,2,1
31758,10,2,1
20801,8,2,2
8876,10,2,2
32953,10,2,1
4262,9,2,12
15093,9,2,1
5305,9,2,1
15843,9,2,2
18655,9,2,2
146,8,2,12
30831,10,2,10
32937,10,2,10
32380,10,2,1
8841,9,2,12
10790,9,2,10
15437,9,2,1
10209,9,2,2
17541,9,2,2
14543,7,2,4
11185,8,2,4
37139,7,2,1
32268,10,2,12
23101,7,2,1
30242,8,2,2
25283,8,2,12
31156,8,2,1
13221,10,2,2
32063,10,2,2
22543,9,2,1
24911,10,2,1
17813,6,2,1
15005,8,2,20
18153,6,2,12
21241,6,2,5
20909,6,2,7
23385,6,2,1
10456,7,2,13
12487,7,2,13
14539,9,2,1
15051,10,2,13
19111,10,2,13
20745,10,2,1
30896,10,2,1
25897,10,2,3
32526,10,2,13
34973,10,2,13
24997,10,2,1
32730,10,2,1
29083,10,2,2
1887,8,2,24
4472,8,2,1
7708,8,2,4
24455,9,2,13
27857,8,2,14
24851,8,2,1
3916,9,2,2
