anime_id,score,watching_status,watched_episodes
39468,9,1,14
48753,8,1,3
1887,7,1,19
31964,9,2,13
33486,7,2,25
36456,7,2,25
10029,10,2,1
35849,7,2,24
1535,10,2,37
2759,10,2,1
3784,10,2,1
3785,10,2,1
3786,10,2,1
121,7,2,51
430,4,2,1
2890,9,2,1
1829,9,2,1
41710,7,2,13
49930,7,2,13
268,10,2,6
15809,10,2,13
48413,10,2,12
11617,7,2,12
40815,8,2,12
42429,7,2,10
431,9,2,1
40750,9,2,10
43969,9,2,12
18679,10,2,24
21659,0,2,2
38000,10,2,26
49926,9,2,7
47778,10,2,11
32281,10,2,1
33206,10,2,13
39247,10,2,12
35363,10,2,1
35145,6,2,7
30831,10,2,10
32937,10,2,10
34626,10,2,1
32380,10,2,1
38040,10,2,1
27947,9,2,24
1430,9,2,1
1419,8,2,1
35857,10,2,24
1425,8,2,155
40082,8,2,1
512,7,2,1
585,8,2,1
164,10,2,1
39535,10,2,11
597,10,2,1
30,10,2,26
31,9,2,1
32,10,2,1
10165,10,2,5
8857,9,2,1
19815,10,2,12
24991,5,2,6
33674,7,2,1
21557,10,2,1
30276,9,2,12
34134,5,2,12
39705,5,2,6
31772,7,2,6
31704,7,2,1
12355,10,2,1
853,8,2,26
8795,10,2,13
12477,8,2,1
199,10,2,1
50265,10,2,12
849,7,2,14
4382,5,2,14
513,9,2,1
37430,10,2,24
39551,10,2,12
41487,10,2,12
38793,9,2,5
45753,6,2,1
39607,7,2,1
41488,10,2,1
2236,4,2,1
523,6,2,1
66,0,3,1
49040,7,3,12
14741,6,4,5
34281,7,4,6
33489,5,4,2
1251,0,6,0
16662,0,6,0
49893,0,6,0
49483,0,6,0
51179,0,6,0
50360,0,6,0
45576,0,6,0
10739,0,6,0
50602,0,6,0
53580,0,6,0
975,0,6,0
