anime_id,score,watching_status,watched_episodes
30370,7,1,1
29893,0,1,2
31043,8,1,8
31964,0,1,9
30127,7,1,7
29589,7,1,6
30694,7,1,45
22043,8,1,63
24765,7,1,3
25183,7,1,8
28977,10,1,39
28891,8,1,24
29785,6,1,5
28623,0,1,6
457,9,1,17
26351,6,1,7
16067,7,1,19
1735,6,1,415
21,9,1,689
31772,0,1,5
31174,8,1,20
29803,7,1,5
28927,7,1,12
28497,7,1,3
32542,0,1,6
10464,7,1,5
31380,8,1,1
29854,8,1,6
1562,7,1,4
101,7,2,13
656,7,2,2
30123,8,2,12
31173,8,2,12
31483,7,2,1
25241,6,2,24
22199,7,2,24
25013,9,2,24
47,4,2,1
17901,7,2,1
22147,7,2,13
30206,7,2,1
30056,5,2,7
6547,10,2,13
10067,5,2,1
9062,7,2,2
28405,6,2,1
19759,6,2,1
15133,7,2,3
477,9,2,13
962,10,2,26
5244,6,2,1
3297,10,2,13
5196,8,2,7
4772,8,2,1
2563,8,2,1
28249,8,2,25
31128,5,2,1
5081,8,2,15
7674,9,2,25
10030,9,2,25
12365,10,2,25
288,7,2,51
1669,6,2,51
1668,6,2,52
1670,7,2,1
22789,9,2,12
13535,8,2,13
28755,7,2,1
11241,8,2,12
14345,7,2,12
1689,10,2,3
10012,8,2,12
12187,7,2,1
15927,7,2,1
28999,8,2,13
31553,7,2,1
4975,6,2,12
10800,9,2,25
14397,9,2,25
18745,7,2,1
14741,8,2,12
15879,4,2,7
16934,7,2,1
15687,7,2,6
18671,6,2,12
21797,6,2,6
23237,6,2,7
27601,6,2,1
2817,8,2,26
2167,9,2,23
4181,10,2,24
6351,9,2,1
4059,9,2,1
1818,8,2,26
1575,10,2,25
2904,10,2,25
13807,5,2,1
6747,5,2,12
26349,7,2,13
29067,7,2,13
11843,9,2,12
12893,8,2,6
14353,7,2,1
1535,10,2,37
28223,7,2,12
24031,7,2,12
552,9,2,54
1313,4,2,50
1132,7,2,50
874,6,2,51
813,9,2,291
904,7,2,1
1685,6,2,26
4443,6,2,52
28121,7,2,13
6702,9,2,175
12049,7,2,1
17535,7,2,1
9982,8,2,5
18393,7,2,1
356,7,2,24
27821,8,2,1
10087,10,2,13
11741,10,2,12
21041,7,2,1
71,7,2,24
72,9,2,12
121,9,2,51
5114,9,2,64
6421,9,2,4
13629,8,2,1
28907,9,2,12
31637,9,2,12
23289,10,2,12
27633,7,2,6
240,8,2,12
2508,9,2,12
18465,8,2,13
19159,8,2,1
1813,9,2,3
16918,8,2,11
19363,8,2,11
918,10,2,201
7472,9,2,1
15335,10,2,1
19261,7,2,3
9969,10,2,51
15417,10,2,13
25313,9,2,1
10643,9,2,1
2951,9,2,1
6945,9,2,1
21899,9,2,2
32122,8,2,1
267,8,2,26
31859,9,2,12
32561,8,2,1
20583,8,2,25
9289,9,2,26
14175,7,2,1
20903,7,2,1
270,3,2,13
11617,7,2,12
15451,7,2,12
30300,6,2,1
12729,6,2,2
13357,6,2,6
8074,2,2,12
9515,2,2,1
934,9,2,26
1889,9,2,24
2899,7,2,1
11061,9,2,148
12189,9,2,22
13469,9,2,1
14719,9,2,26
20899,9,2,24
12413,8,2,12
13331,8,2,12
863,7,2,12
6657,5,2,3
28387,8,2,12
2569,8,2,52
3010,8,2,52
2593,8,2,1
3782,8,2,1
3783,9,2,1
4280,9,2,1
4282,10,2,1
5204,8,2,1
5205,9,2,1
6954,8,2,1
14807,9,2,1
22763,8,2,1
22847,5,2,1
6624,8,2,1
23697,4,2,7
22535,9,2,24
11887,8,2,13
16001,8,2,4
30831,8,2,10
16782,7,2,1
32268,7,2,12
17265,6,2,25
24455,4,2,13
22097,8,2,5
18115,9,2,25
14513,8,2,25
25045,6,2,13
8460,6,2,1
10620,8,2,26
12503,4,2,10
16762,7,2,1
17074,8,2,26
164,8,2,1
9181,8,2,12
877,9,2,47
23755,7,2,24
